timestamp,event,bar_time,ticket,symbol,predicted_class,confidence,probabilities,result
2026-04-23T23:40:02.090988,timeout_close,1050361880,BTCUSDm,15,0.01,78581.06,78591.11,-0.1
2026-04-23T23:40:02.173810,signal_skipped,1776958740,1,0.3916820794127109,"{""-1"": 0.2983808672867481, ""0"": 0.30993705330054094, ""1"": 0.3916820794127109}",threshold_or_filter
2026-04-23T23:41:04.521901,signal_skipped,1776958800,0,0.5924896187870171,"{""-1"": 0.23472840918639873, ""0"": 0.5924896187870171, ""1"": 0.17278197202658407}",threshold_or_filter
2026-04-23T23:42:03.022969,order_opened,1776958860,1050368020,BTCUSDm,-1,0.647695054581738,"{""-1"": 0.647695054581738, ""0"": 0.25470492243226733, ""1"": 0.09760002298599457}","{""retcode"": 10009, ""deal"": 520469882, ""order"": 1050368020, ""volume"": 0.01, ""price"": 78543.99, ""bid"": 78543.99, ""ask"": 78557.99, ""comment"": ""lgbm-live"", ""request_id"": 1696313450, ""retcode_external"": 0, ""request"": [1, 20260423, 0, ""BTCUSDm"", 0.01, 78551.55, 0.0, 78672.5, 78311.5, 50, 1, 1, 0, 0, ""lgbm-live"", 0, 0]}"
2026-04-23T23:43:01.222899,signal_skipped,1776958920,-1,0.5409012992933556,"{""-1"": 0.5409012992933556, ""0"": 0.2080948017076639, ""1"": 0.2510038989989804}",threshold_or_filter
2026-04-23T23:44:01.460461,signal_skipped,1776958980,-1,0.6448961530983849,"{""-1"": 0.6448961530983849, ""0"": 0.24174099038807653, ""1"": 0.11336285651353847}",position_already_open
2026-04-23T23:45:03.820289,signal_skipped,1776959040,-1,0.51972710742334,"{""-1"": 0.51972710742334, ""0"": 0.2981816029802758, ""1"": 0.18209128959638426}",threshold_or_filter
2026-04-23T23:46:04.048061,signal_skipped,1776959100,0,0.8834791963842387,"{""-1"": 0.05083195895948755, ""0"": 0.8834791963842387, ""1"": 0.06568884465627378}",threshold_or_filter
2026-04-23T23:47:02.265864,signal_skipped,1776959160,0,0.6786018853841226,"{""-1"": 0.2540937231978001, ""0"": 0.6786018853841226, ""1"": 0.06730439141807729}",threshold_or_filter
2026-04-23T23:48:04.600882,signal_skipped,1776959220,0,0.4681824853633379,"{""-1"": 0.3400770434558665, ""0"": 0.4681824853633379, ""1"": 0.19174047118079576}",threshold_or_filter
2026-04-23T23:49:02.789835,signal_skipped,1776959280,0,0.4281510874393724,"{""-1"": 0.3927580138746769, ""0"": 0.4281510874393724, ""1"": 0.1790908986859507}",threshold_or_filter
2026-04-23T23:50:01.024047,signal_skipped,1776959340,0,0.46483713599086957,"{""-1"": 0.3462733902762248, ""0"": 0.46483713599086957, ""1"": 0.18888947373290552}",threshold_or_filter
2026-04-23T23:51:01.491903,signal_skipped,1776959400,0,0.6132976727385367,"{""-1"": 0.27699039571908807, ""0"": 0.6132976727385367, ""1"": 0.10971193154237524}",threshold_or_filter
2026-04-23T23:52:03.887726,signal_skipped,1776959460,0,0.4352709876000725,"{""-1"": 0.35292359048175065, ""0"": 0.4352709876000725, ""1"": 0.21180542191817678}",threshold_or_filter
2026-04-23T23:53:04.226959,signal_skipped,1776959520,0,0.40841270491936965,"{""-1"": 0.32342439395146727, ""0"": 0.40841270491936965, ""1"": 0.26816290112916313}",threshold_or_filter
